seed,visited,reachable,walls_hit,n_steps,stuck_at,stuck_reason,truncated
W4390146717,1,1,0,0,W4390146717,seed_paywalled,False
W2806944619,154,154,3337,154,W2600840782,no_passable_neighbours,True
W7128744265,65,65,589,65,W4399841406,no_passable_neighbours,True
W2944061189,1,1,0,0,W2944061189,seed_paywalled,False
W4403516295,99,99,3081,99,W4231798571,no_passable_neighbours,True
W2918243593,1,1,0,0,W2918243593,seed_paywalled,False
W3110751269,1,1,0,0,W3110751269,seed_paywalled,False
W4405402195,98,98,1537,98,W2026793074,no_passable_neighbours,True
W7133623946,93,93,298,93,W4298288530,no_passable_neighbours,True
W4415655233,1,1,0,0,W4415655233,seed_paywalled,False
W7164992625,1,1,0,0,W7164992625,seed_paywalled,False
W4226335333,1,1,0,0,W4226335333,seed_paywalled,False
W3097620319,1,1,0,0,W3097620319,seed_paywalled,False
W4387222044,1,1,0,0,W4387222044,seed_paywalled,False
W2962035632,109,109,1735,109,W2117103822,no_passable_neighbours,True
W4206531360,1,1,0,0,W4206531360,seed_paywalled,False
W2189430462,1,1,0,0,W2189430462,seed_paywalled,False
W1898750929,40,40,430,40,W647801284,no_passable_neighbours,True
W2558634115,1,1,0,0,W2558634115,seed_paywalled,False
W1953824910,1,1,0,0,W1953824910,seed_paywalled,False
W7134123834,1,1,0,0,W7134123834,seed_paywalled,False
W3172672006,91,91,1562,91,W2977100639,no_passable_neighbours,True
W7171561702,1,1,0,0,W7171561702,seed_paywalled,False
W2606237794,1,1,0,0,W2606237794,seed_paywalled,False
W977624078,1,1,0,0,W977624078,seed_paywalled,False
W2924437208,54,54,491,54,W3124622265,no_passable_neighbours,True
W2553745890,1,1,0,0,W2553745890,seed_paywalled,False
W2203475410,1,1,0,0,W2203475410,seed_paywalled,False
W4415982181,1,1,0,0,W4415982181,seed_paywalled,False
W3189343956,116,116,1962,116,W3135560066,no_passable_neighbours,True
W2341797602,1,1,0,0,W2341797602,seed_paywalled,False
W2721253666,1,1,0,0,W2721253666,seed_paywalled,False
W3157089377,54,54,547,54,W2922142244,no_passable_neighbours,True
W2560553838,27,27,457,27,W1578345826,no_passable_neighbours,True
W1482468881,56,56,845,56,W4395472190,no_passable_neighbours,True
W7207634607,1,1,0,0,W7207634607,seed_paywalled,False
W3138843805,1,1,0,0,W3138843805,seed_paywalled,False
W4304190152,1,1,0,0,W4304190152,seed_paywalled,False
W2624607979,1,1,0,0,W2624607979,seed_paywalled,False
W2795518136,1,1,0,0,W2795518136,seed_paywalled,False
W3152130352,1,1,0,0,W3152130352,seed_paywalled,False
W2268695639,1,1,0,0,W2268695639,seed_paywalled,False
W3181165225,1,1,0,0,W3181165225,seed_paywalled,False
W2912812816,1,1,0,0,W2912812816,seed_paywalled,False
W4409350315,93,93,883,93,W4402555294,no_passable_neighbours,True
W3166484615,1,1,0,0,W3166484615,seed_paywalled,False
W2589048501,1,1,0,0,W2589048501,seed_paywalled,False
W2597324803,1,1,0,0,W2597324803,seed_paywalled,False
W2977893088,6,6,148,6,W2060777962,no_passable_neighbours,False
W2569018148,1,1,0,0,W2569018148,seed_paywalled,False
W2583671126,1,1,0,0,W2583671126,seed_paywalled,False
W2990072114,1,1,0,0,W2990072114,seed_paywalled,False
W2909083964,88,88,1087,88,W3022903699,no_passable_neighbours,True
W4220931245,72,72,602,72,W2945050759,no_passable_neighbours,True
W2771843976,1,1,0,0,W2771843976,seed_paywalled,False
W2589283003,1,1,0,0,W2589283003,seed_paywalled,False
W2576050814,1,1,0,0,W2576050814,seed_paywalled,False
W2551647536,1,1,0,0,W2551647536,seed_paywalled,False
W7168455949,1,1,0,0,W7168455949,seed_paywalled,False
W2599282123,59,59,364,59,W2885942108,no_passable_neighbours,True
W2604503697,1,1,0,0,W2604503697,seed_paywalled,False
W2990317023,1,1,0,0,W2990317023,seed_paywalled,False
W2613656885,1,1,0,0,W2613656885,seed_paywalled,False
W4311076144,62,62,1025,62,W2999391239,no_passable_neighbours,True
W2578286838,1,1,0,0,W2578286838,seed_paywalled,False
W2759566173,1,1,0,0,W2759566173,seed_paywalled,False
W4212823348,1,1,0,0,W4212823348,seed_paywalled,False
W4387425958,1,1,0,0,W4387425958,seed_paywalled,False
W2332304562,1,1,0,0,W2332304562,seed_paywalled,False
W4410868831,1,1,0,0,W4410868831,seed_paywalled,False
W1541900278,1,1,0,0,W1541900278,seed_paywalled,False
W4400732878,1,1,0,0,W4400732878,seed_paywalled,False
W3136795933,48,48,317,48,W2965554552,no_passable_neighbours,True
W4388865536,1,1,0,0,W4388865536,seed_paywalled,False
W4229017022,1,1,0,0,W4229017022,seed_paywalled,False
W2744037820,1,1,0,0,W2744037820,seed_paywalled,False
W4225105090,73,73,1291,73,W3013221846,no_passable_neighbours,True
W4396950148,1,1,0,0,W4396950148,seed_paywalled,False
W2493603949,1,1,0,0,W2493603949,seed_paywalled,False
W3013947787,1,1,0,0,W3013947787,seed_paywalled,False
W2605955287,1,1,0,0,W2605955287,seed_paywalled,False
W2583813668,1,1,0,0,W2583813668,seed_paywalled,False
W4363650396,1,1,0,0,W4363650396,seed_paywalled,False
W2951034755,1,1,0,0,W2951034755,seed_paywalled,False
W7171853115,1,1,0,0,W7171853115,seed_paywalled,False
W2887840752,1,1,0,0,W2887840752,seed_paywalled,False
W2103601791,1,1,0,0,W2103601791,seed_paywalled,False
W4412056575,70,70,355,70,W4236991346,no_passable_neighbours,True
W3005232684,99,99,1234,99,W2050771246,no_passable_neighbours,True
W2934055436,1,1,0,0,W2934055436,seed_paywalled,False
W2403179564,1,1,0,0,W2403179564,seed_paywalled,False
W4313656911,1,1,0,0,W4313656911,seed_paywalled,False
W4323652277,55,55,640,55,W2009855500,no_passable_neighbours,True
W4308914606,1,1,0,0,W4308914606,seed_paywalled,False
W3130377548,1,1,0,0,W3130377548,seed_paywalled,False
W4291178280,1,1,0,0,W4291178280,seed_paywalled,False
W4317243041,1,1,0,0,W4317243041,seed_paywalled,False
W4212957849,91,91,781,91,W3201187719,no_passable_neighbours,True
W2531196150,1,1,0,0,W2531196150,seed_paywalled,False
W4320082859,1,1,0,0,W4320082859,seed_paywalled,False
